space,subspace,title,prompt,answer
COBOL Mainframe,Flashcards JCL DB2,RC,O que é RC em um job batch?,"É o return code de um step ou job, usado para indicar sucesso, alerta ou erro na execução."
COBOL Mainframe,Flashcards JCL DB2,Abend,O que é abend?,"É uma terminação anormal de execução, geralmente causada por erro lógico, de ambiente ou de dados."
COBOL Mainframe,Flashcards JCL DB2,SYSOUT,Para que serve SYSOUT=*?,"Direciona saída para spool, permitindo ver logs, mensagens e relatórios da execução."
COBOL Mainframe,Flashcards JCL DB2,DSN,O que significa DSN em JCL?,É o nome do dataset referenciado no DD.
COBOL Mainframe,Flashcards JCL DB2,GDG,O que é GDG?,"É um grupo de datasets versionados por geração, comum em processos batch recorrentes."
COBOL Mainframe,Flashcards JCL DB2,COMMIT,Quando usar COMMIT em DB2?,"Após confirmar um conjunto consistente de alterações, liberando recursos e persistindo transação."
COBOL Mainframe,Flashcards JCL DB2,ROLLBACK,Quando usar ROLLBACK?,Quando ocorre erro ou inconsistência e é preciso desfazer mudanças ainda não confirmadas.
COBOL Mainframe,Flashcards JCL DB2,Cursor,Quando um cursor é necessário?,Quando a consulta retorna várias linhas e o programa precisa processá-las uma a uma.
COBOL Mainframe,Flashcards JCL DB2,WHERE,Por que WHERE é crítico em UPDATE e DELETE?,Porque delimita quais linhas serão afetadas e evita alteração indevida em massa.
COBOL Mainframe,Flashcards JCL DB2,Índice,Como índice ajuda uma consulta?,"Ajuda a localizar dados com menos leitura, melhorando performance quando bem usado."
COBOL Mainframe,Flashcards JCL DB2,DISP OLD,O que significa DISP=OLD?,"Solicita uso exclusivo do dataset, normalmente para atualização."
COBOL Mainframe,Flashcards JCL DB2,PARM,Para que serve PARM no EXEC?,Para passar parâmetros de controle ao programa executado.
COBOL Mainframe,Flashcards JCL DB2,SQLCODE 0,O que significa SQLCODE 0?,Sucesso na execução da instrução SQL.
COBOL Mainframe,Flashcards JCL DB2,SQLCODE +100,O que significa SQLCODE +100?,"Nenhuma linha encontrada, sem erro técnico de execução."
COBOL Mainframe,Flashcards JCL DB2,SQLCODE -911,O que costuma indicar SQLCODE -911?,Deadlock ou timeout com rollback da unidade de trabalho.
COBOL Mainframe,Flashcards JCL DB2,Step,O que é um step em JCL?,"É uma etapa de execução dentro do job, normalmente associada a um programa ou utilitário."
COBOL Mainframe,Flashcards JCL DB2,Spool,O que você consulta no spool?,"Mensagens, SYSOUT, RC, detalhes do step e pistas para troubleshooting."
COBOL Mainframe,Flashcards JCL DB2,Dataset temporário,Quando usar dataset temporário?,Quando precisa armazenar dados intermediários entre steps ou processamentos.
