space,subspace,title,prompt,answer
COBOL Mainframe,Mock Sênior,Incidente crítico,Descreva como você conduz um incidente crítico de batch em produção.,"Primeiro avalio impacto e criticidade, identifico o step e a causa mais provável, proponho contorno para estabilizar o negócio, comunico status com clareza e depois atuo na correção definitiva com evidências e causa raiz."
COBOL Mainframe,Mock Sênior,Correção rápida x estrutural,Como você decide entre correção emergencial e correção estrutural?,"Se o ambiente está instável, priorizo contorno seguro para restabelecer operação. Em seguida planejo correção estrutural com análise de impacto, testes e prevenção de recorrência."
COBOL Mainframe,Mock Sênior,Mudança em rotina crítica,O que você analisa antes de alterar uma rotina bancária crítica?,"Fluxo ponta a ponta, programas chamados, JCLs, arquivos, tabelas DB2, janelas batch, volume, dependências e plano de rollback."
COBOL Mainframe,Mock Sênior,Comunicação com negócio,Como falar com a área de negócio durante um problema técnico?,"Traduzo o erro em impacto prático, informo alcance, contorno, prazo estimado e próximos passos sem excesso de jargão técnico."
COBOL Mainframe,Mock Sênior,Causa raiz,O que não pode faltar em uma análise de causa raiz?,"Sintoma observado, causa técnica confirmada, impacto, correção aplicada, prevenção e responsáveis pelos próximos controles."
COBOL Mainframe,Mock Sênior,Prioridade de incidentes,Como você prioriza dois incidentes simultâneos?,"Priorizo pelo impacto no negócio, volume afetado, risco regulatório, janela operacional e possibilidade de contorno."
COBOL Mainframe,Mock Sênior,Deadlock DB2,Como você trataria recorrência de SQLCODE -911?,"Analisaria padrão de concorrência, ordem de acesso às tabelas, janela de execução, necessidade de commit mais frequente e possibilidade de reprocessamento controlado."
COBOL Mainframe,Mock Sênior,Mentoria,Como você orienta alguém júnior na análise de um job com falha?,"Faço a pessoa seguir um roteiro: identificar step, ler mensagens, entender entrada e saída, separar sintoma de causa e registrar evidências antes de alterar código."
COBOL Mainframe,Mock Sênior,Deploy sensível,Quais são seus cuidados em deploy de mainframe?,"Validação de pacote, dependências, componentes relacionados, janela aprovada, evidências de teste, plano de rollback e monitoramento pós-implantação."
COBOL Mainframe,Mock Sênior,Performance,Como você investiga lentidão após uma mudança?,"Comparo antes e depois, verifico volume, SQL alterado, uso de índices, loops COBOL, I/O, RCs e possíveis gargalos de infraestrutura ou agendamento."
COBOL Mainframe,Mock Sênior,Puxar senioridade,Como demonstrar senioridade sem exagerar experiência?,"Mostrando autonomia, método de análise, foco em risco, comunicação com negócio e preocupação com prevenção, sem inventar ferramentas ou domínios que não possui."
COBOL Mainframe,Mock Sênior,Bancário,Por que ambiente bancário exige cuidado extra?,"Porque envolve alto volume, alta criticidade, impacto financeiro, SLA rigoroso, rastreabilidade e mudanças com risco operacional e regulatório."
COBOL Mainframe,Mock Sênior,Pós-incidente,O que você faz depois de estabilizar um problema?,"Confirmo normalização, documento causa raiz, proponho prevenção, reviso monitoramento e garanto alinhamento com áreas impactadas."
COBOL Mainframe,Mock Sênior,Análise de impacto,Como você faz análise de impacto em legado sem documentação completa?,"Uso leitura de código, busca por chamadas e copybooks, revisão de JCL, tabelas acessadas, logs históricos e validação com quem conhece o processo de negócio."
