"space","subspace","title","lang","description","code"
"COBOL Mainframe","COBOL Básico","IF maioridade","cobol","Classifica cliente como adulto ou menor de idade.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXIDADE.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-IDADE        PIC 9(2) VALUE 17.
01 WS-STATUS       PIC X(10).

PROCEDURE DIVISION.
    IF WS-IDADE >= 18
       MOVE 'ADULTO' TO WS-STATUS
    ELSE
       MOVE 'MENOR' TO WS-STATUS
    END-IF
    DISPLAY WS-STATUS
    STOP RUN."
"COBOL Mainframe","COBOL Básico","EVALUATE conceito nota","cobol","Usa EVALUATE para classificar nota escolar.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXNOTA.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-NOTA         PIC 9(2) VALUE 8.
01 WS-CONCEITO     PIC X(10).

PROCEDURE DIVISION.
    EVALUATE TRUE
       WHEN WS-NOTA >= 9
            MOVE 'OTIMO' TO WS-CONCEITO
       WHEN WS-NOTA >= 7
            MOVE 'BOM' TO WS-CONCEITO
       WHEN WS-NOTA >= 5
            MOVE 'REGULAR' TO WS-CONCEITO
       WHEN OTHER
            MOVE 'RUIM' TO WS-CONCEITO
    END-EVALUATE
    DISPLAY WS-CONCEITO
    STOP RUN."
"COBOL Mainframe","COBOL Básico","COMPUTE total juros","cobol","Calcula saldo acrescido de juros simples.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXJUROS.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-SALDO        PIC 9(5)V99 VALUE 1500.00.
01 WS-TAXA         PIC 9V99 VALUE 0.05.
01 WS-TOTAL        PIC 9(6)V99.

PROCEDURE DIVISION.
    COMPUTE WS-TOTAL = WS-SALDO + (WS-SALDO * WS-TAXA)
    DISPLAY WS-TOTAL
    STOP RUN."
"COBOL Mainframe","COBOL Básico","PERFORM VARYING somatório","cobol","Soma valores de 1 a 5 com PERFORM VARYING.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXSOMA.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-I            PIC 9 VALUE 1.
01 WS-TOTAL        PIC 9(3) VALUE 0.

PROCEDURE DIVISION.
    PERFORM VARYING WS-I FROM 1 BY 1 UNTIL WS-I > 5
        ADD WS-I TO WS-TOTAL
    END-PERFORM
    DISPLAY WS-TOTAL
    STOP RUN."
"COBOL Mainframe","COBOL Básico","REDEFINES exemplo","cobol","Mostra uso de REDEFINES para interpretar a mesma área em formatos diferentes.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXREDEF.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-REGISTRO.
   05 WS-AAAAMMDD   PIC 9(8) VALUE 20260331.
01 WS-DATA-DET REDEFINES WS-REGISTRO.
   05 WS-ANO        PIC 9(4).
   05 WS-MES        PIC 9(2).
   05 WS-DIA        PIC 9(2).

PROCEDURE DIVISION.
    DISPLAY WS-ANO '-' WS-MES '-' WS-DIA
    STOP RUN."
"COBOL Mainframe","COBOL Básico","STRING montagem mensagem","cobol","Concatena nome e agência para exibição.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXSTR.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-NOME         PIC X(10) VALUE 'MARIA'.
01 WS-AGENCIA      PIC 9(4) VALUE 1234.
01 WS-MENSAGEM     PIC X(40).

PROCEDURE DIVISION.
    STRING 'CLIENTE ' DELIMITED BY SIZE
           WS-NOME   DELIMITED BY SPACE
           ' AG '    DELIMITED BY SIZE
           WS-AGENCIA DELIMITED BY SIZE
      INTO WS-MENSAGEM
    END-STRING
    DISPLAY WS-MENSAGEM
    STOP RUN."
"COBOL Mainframe","COBOL Arquivos","READ arquivo com AT END","cobol","Loop simples de leitura de arquivo até fim.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXREAD.
ENVIRONMENT DIVISION.
INPUT-OUTPUT SECTION.
FILE-CONTROL.
    SELECT ARQ-CLIENTES ASSIGN TO 'CLIENTES'.

DATA DIVISION.
FILE SECTION.
FD  ARQ-CLIENTES.
01  REG-CLIENTE.
    05 CLI-NOME     PIC X(20).
WORKING-STORAGE SECTION.
01 WS-FIM          PIC X VALUE 'N'.

PROCEDURE DIVISION.
    OPEN INPUT ARQ-CLIENTES
    PERFORM UNTIL WS-FIM = 'S'
        READ ARQ-CLIENTES
           AT END
              MOVE 'S' TO WS-FIM
           NOT AT END
              DISPLAY CLI-NOME
        END-READ
    END-PERFORM
    CLOSE ARQ-CLIENTES
    STOP RUN."
"COBOL Mainframe","COBOL Arquivos","WRITE arquivo de saída","cobol","Grava registro simples em arquivo de saída.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXWRITE.
ENVIRONMENT DIVISION.
INPUT-OUTPUT SECTION.
FILE-CONTROL.
    SELECT ARQ-SAIDA ASSIGN TO 'SAIDA'.

DATA DIVISION.
FILE SECTION.
FD  ARQ-SAIDA.
01  REG-SAIDA.
    05 SAI-TEXTO    PIC X(20).
PROCEDURE DIVISION.
    OPEN OUTPUT ARQ-SAIDA
    MOVE 'PROCESSADO OK' TO SAI-TEXTO
    WRITE REG-SAIDA
    CLOSE ARQ-SAIDA
    STOP RUN."
"COBOL Mainframe","COBOL Arquivos","Classifica VIP em batch","cobol","Lê saldo e grava cliente VIP quando saldo for maior que 1000.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXVIP.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-SALDO        PIC 9(7)V99 VALUE 2500.00.
01 WS-STATUS       PIC X(10).

PROCEDURE DIVISION.
    IF WS-SALDO > 1000
       MOVE 'VIP' TO WS-STATUS
    ELSE
       MOVE 'NORMAL' TO WS-STATUS
    END-IF
    DISPLAY WS-STATUS
    STOP RUN."
"COBOL Mainframe","COBOL CICS","Pseudo CICS RECEIVE SEND","cobol","Exemplo didático de transação online com COMMAREA simplificada.","IDENTIFICATION DIVISION.
PROGRAM-ID. EXCICS1.
DATA DIVISION.
WORKING-STORAGE SECTION.
01 WS-NOME         PIC X(20).
PROCEDURE DIVISION.
    EXEC CICS RECEIVE MAP('MAPA001')
                     MAPSET('TELAS001')
    END-EXEC
    MOVE 'CONSULTA OK' TO WS-NOME
    EXEC CICS SEND MAP('MAPA001')
                  MAPSET('TELAS001')
    END-EXEC
    EXEC CICS RETURN
    END-EXEC."
