"space","subspace","title","prompt","answer"
"COBOL Mainframe","COBOL Exercícios","Resultado do IF maioridade","No exemplo de IF maioridade, o que será exibido quando WS-IDADE = 17? Explique também o que ocorreria se WS-IDADE = 18.","Com 17, a saída é MENOR. Com 18, a condição >= 18 é satisfeita e a saída passa a ser ADULTO."
"COBOL Mainframe","COBOL Exercícios","Ajuste do saldo premium","Em uma regra que marca PREMIUM quando saldo > 1000, o que fazer para considerar saldo exatamente 1000 como PREMIUM?","Trocar a condição de > 1000 para >= 1000."
"COBOL Mainframe","COBOL Exercícios","Vantagem do EVALUATE","Qual a principal vantagem de usar EVALUATE em vez de muitos IFs encadeados?","Melhora a legibilidade, deixa a regra mais organizada e reduz chance de erro em múltiplas condições."
"COBOL Mainframe","COBOL Exercícios","Resultado do somatório","Em um PERFORM VARYING de 1 até 5 que soma o valor do índice, qual é o resultado final?","15, porque soma 1 + 2 + 3 + 4 + 5."
"COBOL Mainframe","COBOL Exercícios","Condição para status OK","Se a regra for tipo da conta = C e saldo > 0 para retornar OK, em quais cenários a resposta será ERRO?","Quando o tipo for diferente de C ou quando o saldo for zero ou negativo."
"COBOL Mainframe","COBOL Exercícios","Uso do MOVE","Explique de forma simples para que serve o comando MOVE em COBOL.","MOVE copia um valor de uma área para outra, como mover um texto, número ou conteúdo de campo."
"COBOL Mainframe","COBOL Exercícios","Diferença entre COMPUTE e ADD","Qual a diferença prática entre usar COMPUTE e usar ADD em um cálculo simples?","ADD é mais específico para soma. COMPUTE é mais flexível para expressões matemáticas completas com +, -, * e /."
"COBOL Mainframe","COBOL Exercícios","Nível 88","Para que serve o nível 88 em COBOL e por que ele ajuda em manutenção?","Serve para dar nomes legíveis a condições e valores. Ajuda na leitura porque o código fica mais semântico, como STATUS-ATIVO em vez de comparar diretamente com um caractere."
"COBOL Mainframe","COBOL Exercícios","REDEFINES","Explique o uso de REDEFINES em poucas palavras.","Permite interpretar a mesma área de memória de formas diferentes, útil em layouts e reaproveitamento de área."
"COBOL Mainframe","COBOL Exercícios","STRING","Quando o comando STRING pode ser útil em sistemas corporativos?","Na montagem de mensagens, chaves compostas, descrições de logs e textos exibidos ao usuário."
